model,threshold,auroc,f1_macro,accuracy,mcc
SoftVoting,0.5299999999999999,0.7395919676996711,0.650520435611142,0.6825,0.3044331625263596
Stacking,0.42999999999999994,0.7410625952565577,0.6490641711229946,0.685,0.30459793366162796
RandomForest_threshold_tuned,0.51,0.7437899409075108,0.6678346464666922,0.6925,0.33612914971327623
