variant,auroc,f1_macro
full_model,0.5834950297023792,0.5540319342783904
no_symptom_tokens,0.7238161448167064,0.627765064836003
no_clinical_bias,0.5843756530045673,0.5568218285991594
no_intensity_weighting,0.577494850592555,0.5696001812209763
no_temporal_decay,0.5834950297023792,0.5540319342783904
no_few_shot,0.6446696435733575,0.5844061977684419
