model,accuracy,accuracy_ci_lo,accuracy_ci_hi,f1_macro,f1_macro_ci_lo,f1_macro_ci_hi,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,mcc,mcc_ci_lo,mcc_ci_hi
LogisticRegression,0.7,0.7000000000000002,0.7000000000000002,0.6816638370118846,0.6816638370118844,0.6816638370118844,0.7237359287681489,0.723735928768149,0.723735928768149,0.7768097683776934,0.7768097683776932,0.7768097683776932,0.3636638680018516,0.3636638680018515,0.3636638680018515
RandomForest,0.7175,0.7175000000000001,0.7175000000000001,0.6787011565336689,0.6787011565336687,0.6787011565336687,0.7623465868071339,0.762346586807134,0.762346586807134,0.8430489324346433,0.843048932434643,0.843048932434643,0.3717562402097547,0.3717562402097547,0.3717562402097547
XGBoost,0.6625,0.6624999999999998,0.6624999999999998,0.6320899335717935,0.6320899335717935,0.6320899335717935,0.6940025134361881,0.6940025134361882,0.6940025134361882,0.7785500753864327,0.7785500753864326,0.7785500753864326,0.2656924127536049,0.26569241275360495,0.26569241275360495
StandardNN,0.66,0.66,0.66,0.6155585707824514,0.6155585707824516,0.6155585707824516,0.6515949624321505,0.6515949624321504,0.6515949624321504,0.7198631104632536,0.7198631104632536,0.7198631104632536,0.24178291949201483,0.24178291949201478,0.24178291949201478
FederatedNN_NoFewShot,0.6425,0.6425,0.6425,0.6181549943591078,0.6181549943591077,0.6181549943591077,0.6622102195245861,0.662210219524586,0.662210219524586,0.7318269107715621,0.731826910771562,0.731826910771562,0.23631845676056565,0.2363184567605656,0.2363184567605656
Proposed_FewShot,0.5825,0.5825,0.5825,0.5718799469336222,0.5718799469336221,0.5718799469336221,0.6114735688120003,0.6114735688120004,0.6114735688120004,0.6870712999370037,0.6870712999370037,0.6870712999370037,0.15509755146331433,0.15509755146331436,0.15509755146331436
