model,auroc,f1_macro,accuracy
XGBoost_tuned,0.746731196021284,0.6579785352046232,0.71
RandomForest_tuned,0.7561966897510628,0.6542323292772125,0.7075
LogisticRegression_tuned,0.7218775903099013,0.6662194006635558,0.6875
