k,auroc,auroc_std,auroc_ci_lo,auroc_ci_hi,f1_macro,f1_std
1,0.5637630974058927,0.02191110182393502,0.5429475506731545,0.584578644138631,0.5539053128088378,0.022879000916652403
3,0.564464610883907,0.0248365622854414,0.5408698767127377,0.5880593450550763,0.5481182391988799,0.01849843371700549
5,0.5602480671064808,0.029053106062867595,0.5326476163467566,0.587848517866205,0.539152363901326,0.028732157762465516
10,0.5571360339114599,0.02059762977999341,0.5375682856204662,0.5767037822024538,0.5344706915243336,0.027945666509963607
15,0.5571360339114599,0.02059762977999341,0.5375682856204662,0.5767037822024538,0.5344706915243336,0.027945666509963607
