node,rows,unique_stays,feasible_0,feasible_1
node_1,8333,8333,3752,4581
node_2,7432,7432,2530,4902
node_3,5826,5826,2096,3730
node_4,5268,5268,1849,3419
node_5,5540,5540,1875,3665
